idcontrato;nAnuncio;tipoprocedimento;objectoContrato;dataPublicacao;dataCelebracaoContrato;precoContratual;prazoExecucao;NIPC_entidade_comunicante;entidade_comunicante;fundamentacao
10625738;;Ajuste Direto Regime Geral;KIT DESCARTÁVEL P/ DOENTE CIRÚRGICO MASCULINO ( TUNICA + CUECA), BATA DE PROTECCAO IMPERMEAVEL NAO ESTERILIZADA TAM.L;20/03/2024;16/02/2024;5196;20;506362299;Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.;Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos
10625752;;Ajuste Direto Regime Geral;1SAD20240014 - PRESTAÇÃO DE SERVIÇOS DE INTEGRAÇÃO DE SOFTWARE PAT-WIN-SIIMA;20/03/2024;20/03/2024;12100;255;511228848;Serviço de Saúde da Região Autónoma da Madeira,EPE;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos e artigo 4.º, nº 1 do DLR nº 34/2008/M, de 14.08
10625766;;Ajuste Direto Regime Geral;Aquisição de Serviços de Consultoria Fiscal pelo Consultor Carlos Nunes;20/03/2024;20/03/2024;11500;1095;503692310;Ordem dos Contabilistas Certificados;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10625780;;Ajuste Direto Regime Geral;504293753 Paracetamol 40 mg/ml Xar Fr 85 ml, caRVEDilol 6.25 mg Comp, rinotecano 20 mg/ml Sol inj Fr 25 ml IV, Loperamida 2 mg Cáps/comp.;20/03/2024;26/01/2024;1583,63;20;506362299;Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.;Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos
10625802;;Ajuste Direto Regime Geral;1072424 Tenofovir 245 mg Comp, Tramadol 50 mg Cáps;20/03/2024;26/01/2024;465,6;20;506362299;Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.;Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos
10625807;;Consulta Prévia;Aquisição de serviços 'Parque Público Habitação a Custos Acessíveis - Novo Bloco Habitacional ;20/03/2024;18/03/2024;46650;150;506657957;Município de Penacova;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10625821;;Contratação excluída II;Plano de Formação 2024_Gestão Emocional + Comunicação: Escrita Técnica;20/03/2024;30/01/2024;10360;336;501306099;Município do Porto;artigo 6.º-A n.º 1 do Código dos Contratos Públicos
10625839;;Ajuste Direto Regime Geral;MONITORIZAÇÃO GEOTÉCNICA DA INFRAESTRUTURA FERROVIÁRIA PARA 2024-2026;20/03/2024;18/03/2024;178323,23;943;503933813;Infraestruturas de Portugal;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10625841;;Ajuste Direto Regime Geral;Aquisição de transporte para Visita de Estudo de Vila Verde Ficalho ao Oceanário (Lisboa);20/03/2024;07/03/2024;754,72;1;600085546;Agrupamento de Escolas n.º 2 de Serpa;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10625842;;Ajuste Direto Regime Geral;AJUSTE DIRETO PARA RENOVAÇÃO DO CONTRATO DE MANUTENÇÃO DO SISTEMA INTEGRADO DE GESTÃO MUNICIPAL DO MUNICIPIO DE PAREDES - CRITÉRIOS MATERIAIS (Procº 25DAP24)- MP/142/AD/S;20/03/2024;19/03/2024;80961,42;730;506656128;Município de Paredes;Artigo 24.º, n.º 1, alínea e), subalínea ii) do Código dos Contratos Públicos
10625847;;Consulta Prévia;OArte - Fase 8 - Túnel Alfândega (SIN 04) - Empreitada;20/03/2024;19/03/2024;38491,75;120;505037238;Gestão e Obras do Porto, E. M.;Artigo 19.º, alínea c) do Código dos Contratos Públicos
10625853;;Ajuste Direto Regime Geral;AJUSTE DIRETO PARA AQUISIÇÃO DE SERVIÇOS DE MANUTENÇÃO E ASSISTÊNCIA TÉCNICA AOS SISTEMAS PACS SYNGO INSTALADOS NAS ENTIDADES DO MINISTÉRIO DA SAÚDE PARA O ANO 2024;20/03/2024;15/03/2024;54587,73;291;508142156;Unidade Local de Saúde de Gaia/Espinho, E. P. E.;Artigo 24.º, n.º 1, alínea e), subalínea iii) do Código dos Contratos Públicos
10625861;;Ajuste Direto Regime Geral;92.1116.2024 Aquisição de Material de Consumo Clínico;20/03/2024;17/01/2024;1641,45;60;510745997;Unidade Local de Saúde do Algarve, E. P. E.;Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos
10625862;;Ajuste Direto Regime Geral;2024000188 - ARM60-AVENTAL PLASTICO OU POLIETILENO DESCARTAVEL 80X125CM;20/03/2024;18/01/2024;469,6;5;600010180;Estado-Maior-General das Forças Armadas (EMGFA);Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos
10625875;;Consulta Prévia;Prestação de Serviços Outsourcing Helpdesk;20/03/2024;19/03/2024;15750;105;505037238;Gestão e Obras do Porto, E. M.;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10625879;;Ajuste Direto Regime Geral;Ajuste Direto 45/JFSDB/2024 - Serviços de apoio às atividades compreendidas na componente AAAF/CAD, a cargo da JFSDB;20/03/2024;29/02/2024;9960;365;505203731;Freguesia de São Domingos de Benfica;Artigo 21.º, n.º 1, alínea c) do Código dos Contratos Públicos
